0:0.062    1:0.381    2:0.412    3:0.145
0:0.242    1:0.418    2:0.167    3:0.173
0:0.290    1:0.591    2:0.090    3:0.029
0:0.032    1:0.737    2:0.115    3:0.116
0:0.258    1:0.159    2:0.249    3:0.334
0:0.316    1:0.142    2:0.351    3:0.191
0:0.094    1:0.612    2:0.076    3:0.219
0:0.059    1:0.361    2:0.225    3:0.355
0:0.213    1:0.565    2:0.122    3:0.100
0:0.497    1:0.063    2:0.342    3:0.097
0:0.136    1:0.591    2:0.121    3:0.152
0:0.327    1:0.265    2:0.157    3:0.250
0:0.191    1:0.156    2:0.185    3:0.468
0:0.268    1:0.364    2:0.259    3:0.109
0:0.348    1:0.249    2:0.214    3:0.190
0:0.473    1:0.185    2:0.175    3:0.167
0:0.214    1:0.383    2:0.266    3:0.137
0:0.668    1:0.091    2:0.161    3:0.079
0:0.287    1:0.453    2:0.171    3:0.089
0:0.185    1:0.580    2:0.164    3:0.071
0:0.272    1:0.240    2:0.276    3:0.212
0:0.106    1:0.200    2:0.613    3:0.080
0:0.251    1:0.245    2:0.231    3:0.273
0:0.492    1:0.098    2:0.109    3:0.301
0:0.266    1:0.444    2:0.206    3:0.084
0:0.123    1:0.319    2:0.350    3:0.208
0:0.089    1:0.387    2:0.134    3:0.390
0:0.114    1:0.360    2:0.249    3:0.277
0:0.200    1:0.320    2:0.243    3:0.237
0:0.057    1:0.341    2:0.470    3:0.132
0:0.147    1:0.457    2:0.175    3:0.222
0:0.316    1:0.481    2:0.079    3:0.123
0:0.020    1:0.511    2:0.175    3:0.294
0:0.198    1:0.298    2:0.245    3:0.260
0:0.203    1:0.326    2:0.298    3:0.173
0:0.117    1:0.370    2:0.239    3:0.274
0:0.102    1:0.254    2:0.207    3:0.437
0:0.098    1:0.396    2:0.284    3:0.223
0:0.236    1:0.251    2:0.341    3:0.173
0:0.044    1:0.521    2:0.102    3:0.334
0:0.564    1:0.129    2:0.217    3:0.091
0:0.399    1:0.217    2:0.127    3:0.257
0:0.087    1:0.321    2:0.251    3:0.341
0:0.031    1:0.123    2:0.474    3:0.372
0:0.104    1:0.436    2:0.212    3:0.248
0:0.281    1:0.347    2:0.127    3:0.246
0:0.067    1:0.329    2:0.193    3:0.411
0:0.325    1:0.230    2:0.134    3:0.311
0:0.229    1:0.322    2:0.196    3:0.253
0:0.509    1:0.191    2:0.106    3:0.194
0:0.091    1:0.447    2:0.314    3:0.148
0:0.133    1:0.345    2:0.313    3:0.209
0:0.538    1:0.181    2:0.131    3:0.151
0:0.204    1:0.326    2:0.235    3:0.236
0:0.301    1:0.361    2:0.141    3:0.196
0:0.285    1:0.227    2:0.206    3:0.283
0:0.121    1:0.380    2:0.249    3:0.250
0:0.146    1:0.134    2:0.592    3:0.128
0:0.411    1:0.119    2:0.261    3:0.210
0:0.195    1:0.444    2:0.206    3:0.156
0:0.076    1:0.478    2:0.261    3:0.185
0:0.136    1:0.201    2:0.432    3:0.231
0:0.148    1:0.377    2:0.175    3:0.300
0:0.101    1:0.522    2:0.233    3:0.144
0:0.292    1:0.235    2:0.263    3:0.210
0:0.113    1:0.488    2:0.197    3:0.202
0:0.197    1:0.254    2:0.308    3:0.242
0:0.095    1:0.669    2:0.162    3:0.075
0:0.254    1:0.241    2:0.245    3:0.261
0:0.108    1:0.538    2:0.184    3:0.170
0:0.286    1:0.239    2:0.182    3:0.293
0:0.189    1:0.451    2:0.192    3:0.168
0:0.077    1:0.330    2:0.348    3:0.244
0:0.140    1:0.204    2:0.297    3:0.360
0:0.439    1:0.235    2:0.201    3:0.126
0:0.241    1:0.345    2:0.228    3:0.186
0:0.224    1:0.404    2:0.183    3:0.188
0:0.148    1:0.303    2:0.217    3:0.332
0:0.159    1:0.205    2:0.311    3:0.325
0:0.313    1:0.264    2:0.180    3:0.243
0:0.434    1:0.190    2:0.168    3:0.208
0:0.465    1:0.215    2:0.201    3:0.119
0:0.212    1:0.273    2:0.134    3:0.380
0:0.068    1:0.233    2:0.219    3:0.480
0:0.650    1:0.156    2:0.137    3:0.058
0:0.122    1:0.361    2:0.207    3:0.310
0:0.044    1:0.217    2:0.654    3:0.085
0:0.375    1:0.264    2:0.131    3:0.230
0:0.198    1:0.201    2:0.371    3:0.230
0:0.240    1:0.339    2:0.252    3:0.169
0:0.119    1:0.430    2:0.247    3:0.204
0:0.254    1:0.136    2:0.369    3:0.240
0:0.300    1:0.308    2:0.166    3:0.226
0:0.162    1:0.332    2:0.256    3:0.250
0:0.154    1:0.251    2:0.364    3:0.231
0:0.174    1:0.350    2:0.234    3:0.242
0:0.140    1:0.356    2:0.169    3:0.335
0:0.314    1:0.209    2:0.133    3:0.343
0:0.403    1:0.241    2:0.136    3:0.220
0:0.112    1:0.401    2:0.263    3:0.224
0:0.284    1:0.328    2:0.173    3:0.215
0:0.149    1:0.282    2:0.198    3:0.370
0:0.229    1:0.267    2:0.239    3:0.265
0:0.096    1:0.262    2:0.266    3:0.376
0:0.138    1:0.324    2:0.264    3:0.274
0:0.197    1:0.344    2:0.243    3:0.216
0:0.238    1:0.237    2:0.146    3:0.379
0:0.370    1:0.215    2:0.201    3:0.214
0:0.192    1:0.281    2:0.188    3:0.339
0:0.409    1:0.216    2:0.168    3:0.207
0:0.301    1:0.247    2:0.267    3:0.186
0:0.278    1:0.233    2:0.281    3:0.208
0:0.060    1:0.375    2:0.228    3:0.337
0:0.229    1:0.442    2:0.143    3:0.185
0:0.217    1:0.429    2:0.188    3:0.166
0:0.215    1:0.271    2:0.231    3:0.283
0:0.146    1:0.370    2:0.135    3:0.349
0:0.161    1:0.213    2:0.429    3:0.196
0:0.132    1:0.291    2:0.285    3:0.292
0:0.079    1:0.279    2:0.277    3:0.365
0:0.176    1:0.222    2:0.226    3:0.376
0:0.166    1:0.206    2:0.220    3:0.408
0:0.088    1:0.360    2:0.228    3:0.324
0:0.212    1:0.133    2:0.315    3:0.340
0:0.185    1:0.182    2:0.322    3:0.310
0:0.191    1:0.144    2:0.466    3:0.199
0:0.198    1:0.276    2:0.209    3:0.317
0:0.141    1:0.200    2:0.505    3:0.154
0:0.084    1:0.160    2:0.252    3:0.503
0:0.072    1:0.453    2:0.255    3:0.219
0:0.253    1:0.295    2:0.169    3:0.283
0:0.220    1:0.416    2:0.238    3:0.126
0:0.180    1:0.340    2:0.134    3:0.346
0:0.114    1:0.255    2:0.250    3:0.381
0:0.184    1:0.221    2:0.346    3:0.249
0:0.103    1:0.439    2:0.269    3:0.189
0:0.160    1:0.252    2:0.270    3:0.318
0:0.231    1:0.220    2:0.232    3:0.317
0:0.212    1:0.269    2:0.180    3:0.338
0:0.124    1:0.270    2:0.298    3:0.307
0:0.076    1:0.417    2:0.252    3:0.255
0:0.220    1:0.245    2:0.292    3:0.243
0:0.128    1:0.345    2:0.162    3:0.365
0:0.210    1:0.266    2:0.297    3:0.227
0:0.182    1:0.360    2:0.242    3:0.217
0:0.154    1:0.208    2:0.192    3:0.447
0:0.095    1:0.320    2:0.322    3:0.263
0:0.282    1:0.308    2:0.183    3:0.227
0:0.181    1:0.273    2:0.235    3:0.310
0:0.213    1:0.124    2:0.541    3:0.122
0:0.209    1:0.522    2:0.156    3:0.112
0:0.188    1:0.403    2:0.175    3:0.234
0:0.110    1:0.424    2:0.256    3:0.211
0:0.222    1:0.302    2:0.218    3:0.258
0:0.268    1:0.247    2:0.285    3:0.200
0:0.195    1:0.288    2:0.273    3:0.243
0:0.116    1:0.374    2:0.287    3:0.223
0:0.231    1:0.358    2:0.211    3:0.201
0:0.089    1:0.382    2:0.277    3:0.252
0:0.129    1:0.199    2:0.251    3:0.420
0:0.242    1:0.388    2:0.167    3:0.203
0:0.089    1:0.209    2:0.532    3:0.170
0:0.084    1:0.277    2:0.238    3:0.401
0:0.142    1:0.305    2:0.270    3:0.284
0:0.193    1:0.272    2:0.275    3:0.260
0:0.186    1:0.336    2:0.329    3:0.149
0:0.204    1:0.263    2:0.287    3:0.246
0:0.133    1:0.338    2:0.273    3:0.256
0:0.155    1:0.397    2:0.313    3:0.136
0:0.199    1:0.244    2:0.187    3:0.369
0:0.158    1:0.305    2:0.202    3:0.335
0:0.158    1:0.363    2:0.326    3:0.153
0:0.211    1:0.310    2:0.219    3:0.260
0:0.308    1:0.278    2:0.214    3:0.200
0:0.151    1:0.261    2:0.276    3:0.311
0:0.194    1:0.208    2:0.283    3:0.314
0:0.078    1:0.304    2:0.278    3:0.340
0:0.235    1:0.283    2:0.156    3:0.326
0:0.306    1:0.288    2:0.174    3:0.232
0:0.133    1:0.288    2:0.219    3:0.360
0:0.109    1:0.313    2:0.347    3:0.231
0:0.241    1:0.361    2:0.207    3:0.192
0:0.125    1:0.292    2:0.242    3:0.341
0:0.145    1:0.365    2:0.166    3:0.324
0:0.145    1:0.286    2:0.277    3:0.292
0:0.134    1:0.379    2:0.281    3:0.206
0:0.239    1:0.282    2:0.204    3:0.275
0:0.265    1:0.300    2:0.204    3:0.231
0:0.131    1:0.272    2:0.234    3:0.363
0:0.188    1:0.306    2:0.180    3:0.326
0:0.210    1:0.287    2:0.271    3:0.232
0:0.147    1:0.327    2:0.220    3:0.305
0:0.129    1:0.287    2:0.240    3:0.344
0:0.172    1:0.276    2:0.170    3:0.382
0:0.099    1:0.499    2:0.177    3:0.225
0:0.181    1:0.326    2:0.224    3:0.269
